Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Type_ville,Latitude,Longitude
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Mercredi,05:00-22:35,05:30-22:35,Grande ville,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Jeudi,05:00-22:35,05:30-22:35,Grande ville,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Vendredi,05:00-22:35,05:30-22:35,Grande ville,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Samedi,05:00-22:35,05:30-22:35,Grande ville,43.9419,4.805281
Avignon Centre,Vaucluse,84007,"43.9419, 4.805281",87765008,Dimanche,05:30-22:35,05:30-22:35,Grande ville,43.9419,4.805281
Avignon TGV,Vaucluse,84007,"43.921586, 4.786079",87318964,Lundi,05:00-00:00,05:45-00:00,Grande ville,43.921586,4.786079
Avignon TGV,Vaucluse,84007,"43.921586, 4.786079",87318964,Mardi,05:00-00:00,05:45-00:00,Grande ville,43.921586,4.786079
Avignon TGV,Vaucluse,84007,"43.921586, 4.786079",87318964,Mercredi,05:00-00:00,05:45-00:00,Grande ville,43.921586,4.786079
Avignon TGV,Vaucluse,84007,"43.921586, 4.786079",87318964,Jeudi,05:00-00:00,05:45-00:00,Grande ville,43.921586,4.786079
Avignon TGV,Vaucluse,84007,"43.921586, 4.786079",87318964,Vendredi,05:00-00:00,05:45-00:00,Grande ville,43.921586,4.786079
Avignon TGV,Vaucluse,84007,"43.921586, 4.786079",87318964,Samedi,05:45-00:00,05:45-00:00,Grande ville,43.921586,4.786079
Avignon TGV,Vaucluse,84007,"43.921586, 4.786079",87318964,Dimanche,05:45-00:00,05:45-00:00,Grande ville,43.921586,4.786079
Bandol,Var,83009,"43.140344, 5.750118",87755223,Lundi,09:00-13:00,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Lundi,14:00-17:10,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Mardi,09:00-13:00,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Mardi,14:00-17:10,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Mercredi,14:00-17:10,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Mercredi,09:00-13:00,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Jeudi,09:00-13:00,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Jeudi,14:00-17:10,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Vendredi,09:00-13:00,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Vendredi,14:00-17:10,,Petite ville,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Samedi,14:00-17:10,,Petite ville,43.140344,5.750118
