Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Latitude,Longitude
Bandol,Var,83009,"43.140344, 5.750118",87755223,Mercredi,09:00-13:00,,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Jeudi,09:00-13:00,,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Jeudi,14:00-17:10,,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Vendredi,09:00-13:00,,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Vendredi,14:00-17:10,,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Samedi,14:00-17:10,,43.140344,5.750118
Bandol,Var,83009,"43.140344, 5.750118",87755223,Samedi,09:00-13:00,,43.140344,5.750118
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Lundi,05:30-20:10,05:30-20:10,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Mardi,05:30-20:10,05:30-20:10,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Mercredi,05:30-20:10,05:30-20:10,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Jeudi,05:30-20:10,05:30-20:10,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Vendredi,05:30-20:10,05:30-20:10,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Samedi,05:30-20:10,05:30-20:10,44.889853,6.633007
Briançon,Hautes-Alpes,5023,"44.889853, 6.633007",87763607,Dimanche,05:30-20:10,05:30-20:10,44.889853,6.633007
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Lundi,05:00-23:20,05:00-00:50,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Mardi,05:00-23:20,05:00-00:50,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Mercredi,05:00-23:20,05:00-00:50,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Jeudi,05:00-23:20,05:00-00:50,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Vendredi,05:00-00:50,05:00-00:50,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Samedi,05:45-00:50,05:00-00:50,43.553839,7.019682
Cannes,Alpes-Maritimes,6029,"43.553839, 7.019682",87757625,Dimanche,05:00-00:50,05:00-00:50,43.553839,7.019682
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Lundi,09:00-16:15,09:00-16:15,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Mardi,09:00-16:15,09:00-16:15,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Mercredi,09:00-16:15,09:00-16:15,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Jeudi,09:00-16:15,09:00-16:15,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Vendredi,09:00-16:15,09:00-16:15,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Samedi,09:00-16:15,09:00-16:15,44.0499488,5.044141
Carpentras,Vaucluse,84031,"44.0499488, 5.044141",87765735,Dimanche,09:00-16:15,09:00-16:15,44.0499488,5.044141
Carry-le-Rouet,Bouches-du-Rhône,13021,"43.336592, 5.153594",87753566,Lundi,06:50-13:50,Fermé,43.336592,5.153594
Carry-le-Rouet,Bouches-du-Rhône,13021,"43.336592, 5.153594",87753566,Mardi,09:55-16:55,Fermé,43.336592,5.153594
Carry-le-Rouet,Bouches-du-Rhône,13021,"43.336592, 5.153594",87753566,Mercredi,09:55-16:55,Fermé,43.336592,5.153594
Carry-le-Rouet,Bouches-du-Rhône,13021,"43.336592, 5.153594",87753566,Samedi,09:55-16:55,Fermé,43.336592,5.153594
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Mardi,13:00-15:00,Fermé,43.23406,5.553055
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Mardi,07:00-12:00,Fermé,43.23406,5.553055
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Jeudi,07:00-12:00,Fermé,43.23406,5.553055
Cassis,Bouches-du-Rhône,13022,"43.23406, 5.553055",87751776,Jeudi,13:00-15:00,Fermé,43.23406,5.553055
